Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-09-24,45.015,45.359,44.9,44.938,19337907,0.0,0
2015-09-25,44.708,45.13,44.632,45.015,26997684,0.0,0
2015-09-29,44.402,44.402,43.52,43.712,42012271,0.0,0
2015-09-30,44.133,44.402,44.057,44.172,20754133,0.0,0
2015-10-02,45.283,45.704,45.091,45.474,23420397,0.0,0
2015-10-05,46.202,46.509,46.049,46.47,24914750,0.0,0
2015-10-06,46.854,47.045,46.317,46.432,13472959,0.0,0
2015-10-07,46.624,47.62,46.624,47.543,31355489,0.0,0
2015-10-08,48.194,48.194,47.39,47.735,24489389,0.0,0
2015-10-09,48.194,48.424,47.965,48.003,28104921,0.0,0
2015-10-12,48.424,48.501,48.118,48.463,13549340,0.0,0
2015-10-13,48.424,48.424,47.658,47.658,9079962,0.0,0
2015-10-14,46.93,47.275,46.815,47.237,16103493,0.0,0
2015-10-15,47.581,48.003,47.275,47.658,17600259,0.0,0
2015-10-16,48.194,48.194,47.696,48.079,13229646,0.0,0
2015-10-19,47.658,48.041,47.543,47.926,10439704,0.0,0
2015-10-20,47.735,47.811,47.581,47.735,11835076,0.0,0
2015-10-22,47.017,47.172,46.939,47.095,20421167,0.774977,0
2015-10-23,47.482,47.56,47.211,47.405,17326807,0.0,0
2015-10-26,47.87,47.948,47.482,47.599,9930327,0.0,0
2015-10-27,47.715,47.754,47.405,47.56,8635251,0.0,0
2015-10-28,47.211,47.327,47.172,47.211,11712075,0.0,0
2015-10-29,47.56,47.715,47.327,47.405,11594648,0.0,0
2015-10-30,47.289,47.444,47.172,47.327,10439246,0.0,0
2015-11-02,46.939,47.482,46.707,46.784,20381613,0.0,0
2015-11-03,46.978,47.25,46.862,46.939,12154269,0.0,0
2015-11-04,46.784,47.676,46.784,47.172,24579917,0.0,0
2015-11-05,48.103,48.181,47.832,48.064,19249024,0.0,0
2015-11-06,47.482,47.521,47.172,47.25,15268907,0.0,0
2015-11-09,47.832,48.413,47.754,47.987,23782932,0.0,0
2015-11-10,47.909,48.181,47.715,48.026,19497541,0.0,0
2015-11-11,47.754,47.948,47.56,47.948,11101727,0.0,0
2015-11-12,47.948,48.569,47.793,48.569,20166968,0.0,0
2015-11-13,47.715,47.754,47.327,47.366,20012332,0.0,0
2015-11-16,46.939,46.978,46.707,46.862,17728489,0.0,0
2015-11-17,47.095,47.521,47.017,47.289,10902420,0.0,0
2015-11-18,47.521,47.521,47.25,47.405,8901346,0.0,0
2015-11-19,47.87,48.181,47.87,48.142,16531911,0.0,0
2015-11-20,48.336,48.879,48.103,48.84,18764358,0.0,0
2015-11-23,48.646,48.801,48.452,48.569,11888753,0.0,0
2015-11-24,48.336,48.569,48.258,48.413,9274630,0.0,0
2015-11-25,48.336,48.336,47.948,48.064,11315750,0.0,0
2015-11-26,48.724,48.879,48.258,48.297,12474742,0.0,0
2015-11-27,48.801,48.801,47.948,48.103,19235793,0.0,0
2015-11-30,47.948,48.181,47.87,47.948,10677877,0.0,0
2015-12-01,48.142,48.646,48.026,48.607,14287341,0.0,0
2015-12-02,48.879,48.879,48.685,48.763,12898096,0.0,0
2015-12-03,48.336,48.607,48.336,48.53,9701749,0.0,0
2015-12-04,47.948,48.026,47.599,47.715,19653617,0.0,0
2015-12-07,48.026,48.103,47.793,47.87,11121155,0.0,0
2015-12-08,47.599,47.599,47.017,47.211,20908299,0.0,0
2015-12-09,46.396,46.862,46.357,46.745,23305138,0.0,0
2015-12-10,46.629,47.211,46.551,46.823,16939684,0.0,0
2015-12-11,46.823,46.862,46.551,46.59,12971676,0.0,0
2015-12-14,45.776,46.28,45.698,46.125,24080939,0.0,0
2015-12-15,45.62,45.853,45.62,45.698,25256347,0.0,0
2015-12-16,46.28,46.901,46.241,46.629,17376295,0.0,0
2015-12-17,47.327,47.987,47.327,47.948,25119145,0.0,0
2015-12-18,47.482,48.064,47.405,47.715,13396655,0.0,0
2015-12-21,47.327,47.521,47.25,47.405,6654609,0.0,0
2015-12-22,47.638,47.638,47.327,47.405,3485696,0.0,0
2015-12-23,47.327,47.948,47.327,47.754,8562726,0.0,0
2015-12-24,48.181,48.297,48.181,48.22,7206575,0.0,0
2015-12-28,48.297,48.297,47.832,47.909,5975189,0.0,0
2015-12-29,47.793,48.375,47.793,48.336,6279587,0.0,0
2015-12-30,48.452,48.452,48.142,48.22,6453671,0.0,0
2015-12-31,48.026,48.064,47.87,48.026,4236641,0.0,0
2016-01-04,47.793,47.793,46.668,46.862,20504265,0.0,0
2016-01-05,46.513,46.745,46.319,46.474,14738714,0.0,0
2016-01-06,46.008,46.164,45.814,45.97,20291156,0.0,0
2016-01-07,44.961,45.0,44.418,44.457,57109124,0.0,0
2016-01-08,44.224,44.883,44.107,44.534,40618816,0.0,0
2016-01-11,43.603,43.952,43.526,43.72,37473545,0.0,0
2016-01-12,44.224,44.379,43.758,43.836,23333645,0.0,0
2016-01-13,44.224,44.689,44.146,44.263,21913006,0.0,0
2016-01-14,43.37,43.797,43.293,43.681,33654823,0.0,0
2016-01-15,43.681,43.836,43.448,43.526,23892235,0.0,0
2016-01-18,42.168,42.401,42.051,42.168,46715135,0.0,0
2016-01-19,41.741,42.323,41.664,42.245,35093407,0.0,0
